unitid,institution name,year,F1011_F2_RV.Private gifts - Total,DRVF2011_RV.Tuition and fees as a percent of core revenues (FASB),DRVF2011_RV.Endowment assets (year end) per FTE enrollment (FASB)
100690,Amridge University,2011,1370627,83,290
100937,Birmingham Southern College,2011,9978455,49,34084
101073,Concordia College Alabama,2011,2565706,33,6719
101189,Faulkner University,2011,4039553,80,5714
101435,Huntingdon College,2011,2867028,52,40332
101453,Heritage Christian University,2011,2177865,12,143657
101541,Judson College,2011,1254400,28,38343
101675,Miles College,2011,1490499,33,9076
101693,University of Mobile,2011,3470855,66,8767
101912,Oakwood University,2011,1148764,47,4615
102049,Samford University,2011,0,59,57728
102058,Selma University,2011,0,3,
102234,Spring Hill College,2011,6049611,55,12503
102261,Southeastern Bible College,2011,715531,59,9960
102270,Stillman College,2011,1727528,55,15162
102298,Talladega College,2011,0,46,8511
102377,Tuskegee University,2011,0,26,35651
102395,United States Sports Academy,2011,180970,80,2179
102580,Alaska Bible College,2011,1866516,7,1345
102669,Alaska Pacific University,2011,2369225,51,89138
103778,Thunderbird School of Global Management,2011,12184188,81,17061
103787,American Indian College of the Assemblies of God Inc,2011,592535,37,1360
103945,College America-Flagstaff,2011,,,
104586,Embry-Riddle Aeronautical University-Prescott,2011,,88,9945
104665,Frank Lloyd Wright School of Architecture,2011,108647,85,3588
105367,Ottawa University-Phoenix,2011,,86,2252
105589,Prescott College,2011,549374,89,857
105899,Arizona Christian University,2011,2538681,48,4612
106306,Arkansas Baptist College,2011,6836677,16,99
106342,Lyon College,2011,1362353,40,73600
106713,Central Baptist College,2011,3707896,53,2759
106810,Crowley's Ridge College,2011,463725,70,7885
107044,Harding University,2011,6314385,66,18752
107080,Hendrix College,2011,5540960,30,114181
107141,John Brown University,2011,16169194,36,35127
107512,Ouachita Baptist University,2011,8422551,36,55356
107558,University of the Ozarks,2011,1588515,25,144312
107600,Philander Smith College,2011,4933355,35,17973
107877,Williams Baptist College,2011,2394426,42,16866
108269,Academy of Chinese Culture and Health Sciences,2011,0,95,
108861,American Baptist Seminary of the West,2011,397268,25,78533
108870,American Film Institute Conservatory,2011,10343756,34,24795
109086,American Conservatory Theater,2011,6226177,15,329990
109651,Art Center College of Design,2011,3337000,80,22618
109785,Azusa Pacific University,2011,13356162,83,6322
110060,Bethesda University of California,2011,0,46,
110097,Biola University,2011,7285000,79,13704
110307,Phillips Graduate Institute,2011,25503,89,63
110316,California Institute of Integral Studies,2011,629586,93,955
110361,California Baptist University,2011,7704948,83,2961
110370,California College of the Arts,2011,7971000,77,17099
110404,California Institute of Technology,2011,92438000,6,732152
110413,California Lutheran University,2011,7399400,74,15591
110468,Alliant International University,2011,840577,84,360
110778,Sofia University,2011,111313,96,3759
110918,California Christian College,2011,238433,37,4831
110945,California College San Diego,2011,,,
111081,California Institute of the Arts,2011,6799627,54,79744
111391,California Western School of Law,2011,399468,88,16156
111948,Chapman University,2011,22393708,73,25710
111966,Charles R Drew University of Medicine and Science,2011,719600,8,163569
112075,Concordia University-Irvine,2011,1450303,91,3404
112084,San Diego Christian College,2011,2397038,70,1046
