unitid,institution name,year,HD2013.Longitude location of institution,HD2013.Latitude location of institution,F1213_F2.Private gifts - Total,DRVF2013.Tuition and fees as a percent of core revenues (FASB),DRVF2013.Endowment assets (year end) per FTE enrollment (FASB)
100690,Amridge University,2013,-86.17401,32.362609,700854,63,302
100937,Birmingham Southern College,2013,-86.853636,33.515453,15915261,38,37598
101073,Concordia College Alabama,2013,-87.023531,32.42443,7000984,24,
101189,Faulkner University,2013,-86.21641,32.384181,1741117,85,5494
101435,Huntingdon College,2013,-86.285313,32.350939,6673733,44,41486
101453,Heritage Christian University,2013,-87.662062,34.859089,1890052,16,160670
101541,Judson College,2013,-87.316127,32.630526,1652498,29,44004
101675,Miles College,2013,-86.908605,33.481306,2465662,36,10086
101693,University of Mobile,2013,-88.128934,30.793247,4583715,63,14086
101912,Oakwood University,2013,-86.661628,34.756628,1379667,50,5665
102049,Samford University,2013,-86.790932,33.464578,24977494,59,60561
102058,Selma University,2013,-87.033826,32.420358,250000,73,
102234,Spring Hill College,2013,-88.138199,30.694751,6944398,55,15871
102261,Southeastern Bible College,2013,-86.749045,33.378935,725719,59,10059
102270,Stillman College,2013,-87.585242,33.199228,1561706,54,19434
102298,Talladega College,2013,-86.113675,33.434258,0,60,6100
102377,Tuskegee University,2013,-85.710315,32.431021,0,30,37366
102395,United States Sports Academy,2013,-87.91163,30.639329,121479,71,2890
102580,Alaska Bible College,2013,-149.111341,61.59843,385855,16,2053
102669,Alaska Pacific University,2013,-149.804242,61.191235,2743470,47,192792
103778,Thunderbird School of Global Management,2013,-112.180861,33.620887,3377090,90,25757
103787,American Indian College of the Assemblies of God Inc,2013,-112.092247,33.577738,702592,26,1665
103945,College America-Flagstaff,2013,-111.604793,35.211152,0,100,
104586,Embry-Riddle Aeronautical University-Prescott,2013,-112.452285,34.615678,,90,11293
104665,Frank Lloyd Wright School of Architecture,2013,-111.846477,33.60715,0,100,4015
105367,Ottawa University-Phoenix,2013,-112.113447,33.577907,,83,4498
105589,Prescott College,2013,-112.476509,34.5445,1184227,83,1166
105899,Arizona Christian University,2013,-112.026211,33.595117,1461655,57,3657
106306,Arkansas Baptist College,2013,-92.290555,34.734751,904112,69,
106342,Lyon College,2013,-91.628115,35.778934,1443482,50,79323
106713,Central Baptist College,2013,-92.444102,35.084574,3918356,60,3390
106810,Crowley's Ridge College,2013,-90.58482,36.066239,726943,61,8865
107044,Harding University,2013,-91.729008,35.249605,11416525,71,18798
107080,Hendrix College,2013,-92.442021,35.09972,5438832,32,118930
107141,John Brown University,2013,-94.559088,36.191077,14564472,41,38304
107512,Ouachita Baptist University,2013,-93.052442,34.125045,7768405,42,54781
107558,University of the Ozarks,2013,-93.467924,35.477785,4241626,32,154110
107600,Philander Smith College,2013,-92.28242,34.73666,4991856,34,15423
107877,Williams Baptist College,2013,-90.939876,36.126825,1794056,61,20167
108269,Academy of Chinese Culture and Health Sciences,2013,-122.272733,37.806662,0,98,
108861,American Baptist Seminary of the West,2013,-122.256149,37.865252,780748,33,118527
108870,American Film Institute Conservatory,2013,-118.309989,34.10846,14555419,30,20110
109086,American Conservatory Theater,2013,-122.404945,37.787326,7407050,7,450059
109651,Art Center College of Design,2013,-118.186901,34.170844,7398000,66,29713
109785,Azusa Pacific University,2013,-117.88795,34.130865,6872578,89,6604
110060,Bethesda University of California,2013,-117.941323,33.842295,0,40,
110097,Biola University,2013,-118.017342,33.904823,8578000,84,17473
110307,Phillips Graduate Institute,2013,-118.567621,34.24202,83072,83,70
110316,California Institute of Integral Studies,2013,-122.416537,37.774768,1289911,91,1157
110361,California Baptist University,2013,-117.42587,33.928569,3869042,91,2304
110370,California College of the Arts,2013,-122.400263,37.767266,3162000,86,16075
110404,California Institute of Technology,2013,-118.12574,34.139275,95929000,5,872856
110413,California Lutheran University,2013,-118.879467,34.225551,6218546,80,14701
110468,Alliant International University,2013,-117.094398,32.897056,438658,92,414
110778,Sofia University,2013,-122.10866,37.430325,39886,97,2084
110918,California Christian College,2013,-119.732752,36.767596,111500,57,4514
110945,California College San Diego,2013,-117.167121,32.83529,0,100,
111081,California Institute of the Arts,2013,-118.567303,34.393337,6912690,62,80806
111391,California Western School of Law,2013,-117.162597,32.72194,1260571,84,29412
111948,Chapman University,2013,-117.851481,33.793678,34433175,70,29744
111966,Charles R Drew University of Medicine and Science,2013,-118.242791,33.925658,610000,20,93043
112075,Concordia University-Irvine,2013,-117.81063,33.6535,1935256,91,3240
112084,San Diego Christian College,2013,-116.903073,32.799999,594498,95,821
112127,Church Divinity School of the Pacific,2013,-122.261391,37.876169,767872,15,303081
112251,Claremont Graduate University,2013,-117.712394,34.103778,6820446,63,144214
112260,Claremont McKenna College,2013,-117.706593,34.102323,30702000,23,456319
112446,Coleman University,2013,-117.136493,32.821962,0,82,
112525,Western University of Health Sciences,2013,-117.747732,34.058092,3037280,85,3714
112570,Columbia College-Hollywood,2013,-118.538394,34.179596,32039,99,
113537,Dell'Arte International School of Physical Theatre,2013,-123.988878,40.880871,45000,48,
113698,Dominican University of California,2013,-122.514654,37.980014,5034987,79,14139
113704,Dominican School of Philosophy & Theology,2013,-122.264612,37.881099,461327,32,15687
114549,Fielding Graduate University,2013,-119.717151,34.4294,270455,89,4399
114734,Franciscan School of Theology,2013,-122.260924,37.877133,543063,13,184798
114813,Fresno Pacific University,2013,-119.731953,36.725279,2601615,89,3713
114840,Fuller Theological Seminary in California,2013,-118.140261,34.14778,12314000,49,75755
115083,Golden Gate University-San Francisco,2013,-122.398785,37.789208,1750765,86,24825
115214,Graduate Theological Union,2013,-122.261847,37.87554,874846,18,121286
115409,Harvey Mudd College,2013,-117.710594,34.106137,30455964,25,306579
115728,Holy Names University,2013,-122.18717,37.802654,3756407,68,10735
115773,Humphreys College-Stockton and Modesto Campuses,2013,-121.316401,38.011051,196049,96,129
116712,John F Kennedy University,2013,-122.183972,37.881794,196856,92,3087
116846,American Jewish University,2013,-118.471764,34.128099,9643028,24,86488
117104,Life Pacific College,2013,-117.830997,34.089421,2321659,61,6382
117140,University of La Verne,2013,-117.772634,34.10086,2575765,89,6673
117168,Laguna College of Art and Design,2013,-117.772564,33.561448,1243641,71,3749
117520,Life Chiropractic College West,2013,-122.11627,37.637639,455619,89,
